episode,episode_reward,avg_reward,epsilon,sim_seconds,total_departed,avg_departed_per_sec,switch_count,average_queue,average_wait,average_imbalance,cumulative_queue,cumulative_wait,final_total_queue,final_total_wait
220,-9923.10,-33.0770,0.6501,7200,8705,1.2090,194,5.9108,31.3099,4.9775,42558.00,225431.00,12,73
221,-10263.08,-34.2103,0.6485,7200,8617,1.1968,184,6.0376,32.3978,5.0968,43471.00,233264.00,9,46
222,-10193.72,-33.9791,0.6469,7200,8568,1.1900,202,5.9936,32.1614,5.0597,43154.00,231562.00,7,51
223,-10409.63,-34.6988,0.6453,7200,8624,1.1978,188,6.0704,32.8790,5.0826,43707.00,236729.00,13,84
224,-10289.41,-34.2980,0.6438,7200,8676,1.2050,196,6.0293,32.4879,5.0537,43411.00,233913.00,10,70
225,-10112.16,-33.7072,0.6422,7200,8531,1.1849,174,5.9489,31.9343,5.0078,42832.00,229927.00,10,78
226,-10003.80,-33.3460,0.6406,7200,8469,1.1763,184,5.8818,31.5796,4.9710,42349.00,227373.00,10,58
227,-10048.15,-33.4938,0.6390,7200,8528,1.1844,179,5.8781,31.7403,4.9558,42322.00,228530.00,7,46
228,-9954.59,-33.1820,0.6374,7200,8457,1.1746,193,5.8536,31.4135,4.9603,42146.00,226177.00,6,40
229,-10147.57,-33.8252,0.6358,7200,8561,1.1890,192,5.9771,32.0296,5.0137,43035.00,230613.00,14,97
230,-10200.96,-34.0032,0.6342,7200,8752,1.2156,186,6.0492,32.1962,5.0944,43554.00,231813.00,6,33
231,-10313.97,-34.3799,0.6327,7200,8748,1.2150,172,6.0606,32.5840,5.0964,43636.00,234605.00,11,65
232,-10291.04,-34.3035,0.6311,7200,8682,1.2058,174,6.0576,32.5067,5.0710,43615.00,234048.00,7,43
233,-10262.39,-34.2080,0.6295,7200,8742,1.2142,171,6.0593,32.4114,5.1040,43627.00,233362.00,11,74
234,-10538.90,-35.1297,0.6279,7200,8741,1.2140,169,6.1972,33.2861,5.2106,44620.00,239660.00,7,49
235,-10511.79,-35.0393,0.6263,7200,8703,1.2087,181,6.1703,33.1958,5.1639,44426.00,239010.00,13,84
236,-10205.75,-34.0192,0.6248,7200,8603,1.1949,181,6.0224,32.2172,5.0696,43361.00,231964.00,8,42
237,-10461.33,-34.8711,0.6232,7200,8621,1.1974,203,6.1107,33.0153,5.1468,43997.00,237710.00,10,53
238,-10083.92,-33.6131,0.6216,7200,8627,1.1982,177,5.9629,31.8353,5.0365,42933.00,229214.00,6,39
239,-10133.27,-33.7776,0.6200,7200,8578,1.1914,162,5.9681,32.0125,5.0258,42970.00,230490.00,7,33
240,-10146.52,-33.8217,0.6184,7200,8588,1.1928,184,5.9508,32.0439,5.0003,42846.00,230716.00,7,31
241,-10154.18,-33.8473,0.6168,7200,8652,1.2017,183,5.9676,32.0667,5.0246,42967.00,230880.00,10,66
242,-9915.99,-33.0533,0.6153,7200,8578,1.1914,203,5.8532,31.2858,4.9476,42143.00,225258.00,8,52
243,-10058.14,-33.5271,0.6137,7200,8637,1.1996,187,5.9715,31.7432,5.0121,42995.00,228551.00,8,71
244,-10339.95,-34.4665,0.6121,7200,8633,1.1990,188,6.0746,32.6501,5.0649,43737.00,235081.00,7,52
245,-10412.22,-34.7074,0.6105,7200,8724,1.2117,161,6.1361,32.8871,5.1897,44180.00,236787.00,9,57
246,-10005.99,-33.3533,0.6089,7200,8513,1.1824,183,5.9069,31.5796,5.0025,42530.00,227373.00,12,75
247,-10314.79,-34.3826,0.6073,7200,8695,1.2076,175,6.0661,32.5847,5.0675,43676.00,234610.00,9,40
248,-10099.14,-33.6638,0.6058,7200,8644,1.2006,170,5.9735,31.8921,5.0365,43009.00,229623.00,6,29
249,-10270.40,-34.2347,0.6042,7200,8519,1.1832,183,6.0372,32.4201,5.0783,43468.00,233425.00,9,50
250,-9936.93,-33.1231,0.6026,7200,8558,1.1886,167,5.8518,31.3924,4.9385,42133.00,226025.00,8,41
251,-10349.91,-34.4997,0.6010,7200,8597,1.1940,186,6.0872,32.6706,5.1136,43828.00,235228.00,10,53
252,-10021.17,-33.4039,0.5994,7200,8497,1.1801,176,5.9022,31.6457,4.9592,42496.00,227849.00,6,39
253,-10190.79,-33.9693,0.5978,7200,8619,1.1971,181,6.0229,32.1742,5.0404,43365.00,231654.00,7,31
254,-10058.84,-33.5295,0.5962,7200,8613,1.1963,191,5.9371,31.7501,4.9951,42747.00,228601.00,7,41
255,-9892.84,-32.9761,0.5947,7200,8515,1.1826,179,5.8467,31.2289,4.9511,42096.00,224848.00,12,65
256,-9956.15,-33.1872,0.5931,7200,8601,1.1946,189,5.9149,31.4114,5.0054,42587.00,226162.00,10,47
257,-10516.81,-35.0560,0.5915,7200,8649,1.2012,184,6.1674,33.2061,5.1654,44405.00,239084.00,10,82
258,-10167.23,-33.8908,0.5899,7200,8552,1.1878,195,5.9567,32.0925,5.0292,42888.00,231066.00,11,69
259,-10411.94,-34.7065,0.5883,7200,8765,1.2174,183,6.0987,32.8890,5.1168,43911.00,236801.00,13,105
260,-10224.55,-34.0818,0.5867,7200,8671,1.2043,196,6.0389,32.2650,5.0761,43480.00,232308.00,6,57
261,-10109.30,-33.6977,0.5852,7200,8679,1.2054,197,5.9756,31.9074,5.0044,43024.00,229733.00,12,82
262,-10451.57,-34.8386,0.5836,7200,8734,1.2131,186,6.1574,32.9960,5.1582,44333.00,237571.00,11,56
263,-10253.46,-34.1782,0.5820,7200,8771,1.2182,194,6.0614,32.3607,5.1017,43642.00,232997.00,13,116
264,-10446.81,-34.8227,0.5804,7200,8660,1.2028,184,6.1251,32.9893,5.1288,44101.00,237523.00,12,102
265,-10296.13,-34.3204,0.5788,7200,8683,1.2060,182,6.0431,32.5138,5.0953,43510.00,234099.00,5,45
266,-10232.48,-34.1083,0.5773,7200,8681,1.2057,179,6.0342,32.3083,5.0847,43446.00,232620.00,10,82
267,-10162.45,-33.8748,0.5757,7200,8655,1.2021,195,5.9693,32.0810,5.0301,42979.00,230983.00,4,15
268,-10186.94,-33.9565,0.5741,7200,8534,1.1853,183,5.9828,32.1614,5.0408,43076.00,231562.00,17,140
269,-10243.23,-34.1441,0.5725,7200,8643,1.2004,177,6.0290,32.3454,5.0804,43409.00,232887.00,11,91
270,-10146.25,-33.8208,0.5709,7200,8560,1.1889,175,5.9671,32.0383,5.0426,42963.00,230676.00,13,74
271,-10152.19,-33.8406,0.5693,7200,8648,1.2011,185,6.0144,32.0368,5.0825,43304.00,230665.00,9,56
272,-10103.65,-33.6788,0.5677,7200,8600,1.1944,175,5.9682,31.8950,5.0621,42971.00,229644.00,7,46
273,-10069.09,-33.5636,0.5662,7200,8522,1.1836,174,5.9367,31.7958,4.9914,42744.00,228930.00,8,39
274,-9976.88,-33.2563,0.5646,7200,8556,1.1883,191,5.9013,31.4782,5.0049,42489.00,226643.00,8,38
275,-9976.60,-33.2553,0.5630,7200,8579,1.1915,189,5.9014,31.4779,5.0194,42490.00,226641.00,11,72
276,-10331.01,-34.4367,0.5614,7200,8615,1.1965,190,6.0344,32.6229,5.0758,43448.00,234885.00,10,84
277,-10373.51,-34.5784,0.5598,7200,8644,1.2006,190,6.0789,32.7440,5.1442,43768.00,235757.00,9,59
278,-10015.66,-33.3855,0.5583,7200,8651,1.2015,168,5.9271,31.6321,5.0040,42675.00,227751.00,13,91
279,-10199.14,-33.9971,0.5567,7200,8563,1.1893,187,5.9908,32.2025,5.0206,43134.00,231858.00,10,64
280,-10047.81,-33.4927,0.5551,7200,8614,1.1964,171,5.9419,31.7311,5.0019,42782.00,228464.00,6,38
281,-10124.45,-33.7482,0.5535,7200,8566,1.1897,181,6.0124,31.9474,5.0610,43289.00,230021.00,13,72
282,-10179.13,-33.9304,0.5519,7200,8715,1.2104,183,6.0118,32.1396,5.0535,43285.00,231405.00,7,45
283,-10051.94,-33.5065,0.5503,7200,8559,1.1887,184,5.9344,31.7283,5.0081,42728.00,228444.00,5,19
284,-10423.65,-34.7455,0.5488,7200,8691,1.2071,173,6.1414,32.9147,5.1653,44218.00,236986.00,6,30
285,-10173.36,-33.9112,0.5472,7200,8683,1.2060,182,6.0194,32.1099,5.0922,43340.00,231191.00,6,24
286,-10448.09,-34.8270,0.5456,7200,8784,1.2200,182,6.1642,32.9926,5.1475,44382.00,237547.00,12,65
287,-10188.32,-33.9611,0.5440,7200,8568,1.1900,181,5.9847,32.1644,5.0683,43090.00,231584.00,15,96
288,-10359.51,-34.5317,0.5424,7200,8732,1.2128,171,6.0928,32.7257,5.1142,43868.00,235625.00,11,87
289,-10454.82,-34.8494,0.5408,7200,8778,1.2192,172,6.1740,33.0158,5.1818,44453.00,237714.00,10,56
290,-9902.04,-33.0068,0.5393,7200,8498,1.1803,171,5.8596,31.2608,4.9660,42189.00,225078.00,12,81
291,-9880.45,-32.9348,0.5377,7200,8665,1.2035,185,5.8803,31.1825,4.9650,42338.00,224514.00,10,66
292,-10062.32,-33.5411,0.5361,7200,8554,1.1881,167,5.9251,31.7922,4.9543,42661.00,228904.00,5,38
293,-10246.64,-34.1555,0.5345,7200,8640,1.2000,166,6.0508,32.3518,5.1375,43566.00,232933.00,5,48
294,-10361.86,-34.5395,0.5329,7200,8640,1.2000,198,6.0878,32.6962,5.1386,43832.00,235413.00,12,115
295,-9977.15,-33.2572,0.5313,7200,8503,1.1810,179,5.8438,31.5143,4.9279,42075.00,226903.00,7,56
296,-10083.80,-33.6127,0.5297,7200,8568,1.1900,195,5.9486,31.8228,5.0008,42830.00,229124.00,12,89
297,-10483.37,-34.9446,0.5282,7200,8726,1.2119,188,6.1542,33.0960,5.1786,44310.00,238291.00,14,96
298,-10117.68,-33.7256,0.5266,7200,8532,1.1850,158,5.9647,31.9643,5.0142,42946.00,230143.00,7,47
299,-10122.85,-33.7428,0.5250,7200,8707,1.2093,187,5.9947,31.9504,5.0556,43162.00,230043.00,8,70
300,-10075.45,-33.5848,0.5234,7200,8678,1.2053,184,5.9729,31.8051,5.0187,43005.00,228997.00,12,65
301,-10332.62,-34.4421,0.5218,7200,8615,1.1965,170,6.0765,32.6328,5.1113,43751.00,234956.00,7,40
302,-10589.59,-35.2986,0.5202,7200,8822,1.2253,192,6.2067,33.4389,5.1953,44688.00,240760.00,16,109
303,-10089.05,-33.6302,0.5187,7200,8685,1.2063,177,5.9842,31.8544,5.0250,43086.00,229352.00,11,95
304,-9954.93,-33.1831,0.5171,7200,8574,1.1908,203,5.9078,31.3976,4.9817,42536.00,226063.00,13,98
305,-10136.74,-33.7891,0.5155,7200,8659,1.2026,176,6.0147,31.9944,5.0853,43306.00,230360.00,8,50
306,-10143.40,-33.8113,0.5139,7200,8582,1.1919,177,6.0074,32.0124,5.0824,43253.00,230489.00,13,76
307,-10033.11,-33.4437,0.5123,7200,8639,1.1999,179,5.9411,31.6740,5.0119,42776.00,228053.00,13,99
308,-10100.49,-33.6683,0.5108,7200,8696,1.2078,181,5.9849,31.8907,5.0176,43091.00,229613.00,10,35
309,-10301.67,-34.3389,0.5092,7200,8618,1.1969,195,6.0611,32.5115,5.0931,43640.00,234083.00,12,89
310,-9861.16,-32.8705,0.5076,7200,8549,1.1874,172,5.8501,31.1317,4.9526,42121.00,224148.00,7,42
311,-10276.58,-34.2553,0.5060,7200,8650,1.2014,179,6.0382,32.4543,5.0751,43475.00,233671.00,10,102
312,-10109.32,-33.6977,0.5044,7200,8743,1.2143,183,6.0151,31.9039,5.0749,43309.00,229708.00,8,73
313,-10205.82,-34.0194,0.5028,7200,8649,1.2012,178,6.0193,32.2268,5.0568,43339.00,232033.00,6,48
314,-10044.87,-33.4829,0.5012,7200,8600,1.1944,183,5.9456,31.7061,5.0094,42808.00,228284.00,4,30
315,-10306.24,-34.3541,0.4997,7200,8655,1.2021,184,6.0722,32.5397,5.0850,43720.00,234286.00,11,70
316,-9955.78,-33.1859,0.4981,7200,8666,1.2036,184,5.9157,31.4233,4.9863,42593.00,226248.00,11,88
317,-10171.13,-33.9038,0.4965,7200,8621,1.1974,182,6.0017,32.1108,5.0464,43212.00,231198.00,13,118
318,-9903.65,-33.0122,0.4949,7200,8527,1.1843,167,5.8839,31.2631,4.9875,42364.00,225094.00,13,64
319,-10153.95,-33.8465,0.4933,7200,8579,1.1915,172,6.0081,32.0592,5.0475,43258.00,230826.00,14,98
320,-10127.33,-33.7578,0.4918,7200,8696,1.2078,169,6.0049,31.9821,5.0479,43235.00,230271.00,12,85
321,-9732.91,-32.4430,0.4902,7200,8436,1.1717,177,5.7675,30.7204,4.8897,41526.00,221187.00,9,71
322,-10110.03,-33.7001,0.4886,7200,8636,1.1994,166,6.0090,31.9200,5.0601,43265.00,229824.00,12,108
323,-10156.98,-33.8566,0.4870,7200,8652,1.2017,195,5.9953,32.0564,5.0350,43166.00,230806.00,18,119
324,-10069.02,-33.5634,0.4854,7200,8716,1.2106,166,5.9757,31.8014,5.0307,43025.00,228970.00,6,38
325,-9805.51,-32.6850,0.4838,7200,8442,1.1725,169,5.8203,30.9472,4.9550,41906.00,222820.00,6,32
326,-9749.08,-32.4969,0.4822,7200,8551,1.1876,180,5.7714,30.7787,4.8886,41554.00,221607.00,6,42
327,-9936.41,-33.1214,0.4807,7200,8483,1.1782,179,5.8519,31.3749,4.9311,42134.00,225899.00,16,100
328,-10156.43,-33.8548,0.4791,7200,8607,1.1954,186,5.9765,32.0635,5.0385,43031.00,230857.00,14,125
329,-9674.05,-32.2468,0.4775,7200,8551,1.1876,163,5.7421,30.5524,4.8843,41343.00,219977.00,9,82
330,-10070.70,-33.5690,0.4759,7200,8557,1.1885,157,5.9515,31.8111,5.0240,42851.00,229040.00,8,53
331,-10059.63,-33.5321,0.4743,7200,8577,1.1912,172,5.9711,31.7558,5.0283,42992.00,228642.00,10,59
332,-10015.35,-33.3845,0.4728,7200,8578,1.1914,189,5.9079,31.6165,4.9654,42537.00,227639.00,11,69
333,-10267.58,-34.2253,0.4712,7200,8736,1.2133,177,6.0839,32.4215,5.0831,43804.00,233435.00,11,94
334,-10301.25,-34.3375,0.4696,7200,8633,1.1990,157,6.0518,32.5550,5.0732,43573.00,234396.00,9,70
335,-9999.92,-33.3331,0.4680,7200,8487,1.1787,180,5.9022,31.5703,4.9586,42496.00,227306.00,11,78
336,-10199.45,-33.9982,0.4664,7200,8621,1.1974,167,6.0264,32.2121,5.0625,43390.00,231927.00,8,60
337,-10177.67,-33.9256,0.4648,7200,8639,1.1999,174,6.0082,32.1411,5.0438,43259.00,231416.00,11,75
338,-10235.42,-34.1181,0.4633,7200,8593,1.1935,171,6.0099,32.3351,5.0335,43271.00,232813.00,8,34
339,-10261.67,-34.2056,0.4617,7200,8775,1.2188,153,6.0864,32.4250,5.0983,43822.00,233460.00,11,73
340,-10080.56,-33.6019,0.4601,7200,8488,1.1789,161,5.9235,31.8460,4.9982,42649.00,229291.00,14,136
341,-10173.03,-33.9101,0.4585,7200,8605,1.1951,183,5.9843,32.1211,5.0335,43087.00,231272.00,11,60
342,-10121.71,-33.7390,0.4569,7200,8721,1.2112,176,5.9778,31.9661,5.0350,43040.00,230156.00,7,42
343,-10351.56,-34.5052,0.4553,7200,8697,1.2079,165,6.1110,32.6997,5.1113,43999.00,235438.00,12,55
344,-10084.15,-33.6138,0.4537,7200,8510,1.1819,177,5.9447,31.8332,5.0283,42802.00,229199.00,8,46
345,-10059.43,-33.5314,0.4522,7200,8572,1.1906,186,5.9257,31.7581,4.9876,42665.00,228658.00,11,63
346,-9886.87,-32.9562,0.4506,7200,8524,1.1839,179,5.8353,31.2158,4.9314,42014.00,224754.00,8,49
347,-10162.23,-33.8741,0.4490,7200,8696,1.2078,168,6.0218,32.0907,5.0746,43357.00,231053.00,7,37
348,-10204.12,-34.0137,0.4474,7200,8500,1.1806,167,6.0017,32.2278,5.0444,43212.00,232040.00,11,97
349,-10067.19,-33.5573,0.4458,7200,8659,1.2026,152,5.9475,31.8125,5.0231,42822.00,229050.00,10,89
350,-10121.81,-33.7394,0.4443,7200,8589,1.1929,164,5.9928,31.9614,5.0594,43148.00,230122.00,9,61
351,-10250.66,-34.1689,0.4427,7200,8647,1.2010,173,6.0390,32.3710,5.0879,43481.00,233071.00,12,92
352,-10005.03,-33.3501,0.4411,7200,8608,1.1956,160,5.9501,31.5958,5.0101,42841.00,227490.00,11,104
353,-10241.47,-34.1382,0.4395,7200,8598,1.1942,177,6.0074,32.3456,5.0565,43253.00,232888.00,14,98
354,-10126.31,-33.7544,0.4379,7200,8551,1.1876,170,5.9504,31.9879,5.0010,42843.00,230313.00,8,62
355,-9898.76,-32.9959,0.4363,7200,8619,1.1971,151,5.8639,31.2815,4.9456,42220.00,225227.00,4,23
356,-10167.45,-33.8915,0.4347,7200,8604,1.1950,160,5.9689,32.1325,5.0136,42976.00,231354.00,12,80
357,-10266.14,-34.2205,0.4332,7200,8711,1.2099,175,6.0521,32.4283,5.0582,43575.00,233484.00,8,49
358,-10187.67,-33.9589,0.4316,7200,8641,1.2001,166,6.0310,32.1724,5.0721,43423.00,231641.00,8,48
359,-10343.34,-34.4778,0.4300,7200,8677,1.2051,161,6.0890,32.6793,5.1113,43841.00,235291.00,8,48
360,-9764.26,-32.5475,0.4284,7200,8610,1.1958,142,5.8446,30.8536,4.9046,42081.00,222146.00,11,84
361,-10211.98,-34.0399,0.4268,7200,8684,1.2061,167,6.0235,32.2642,5.0357,43369.00,232302.00,8,45
362,-10002.96,-33.3432,0.4253,7200,8580,1.1917,160,5.8908,31.6126,4.9411,42414.00,227611.00,7,42
363,-10227.85,-34.0928,0.4237,7200,8706,1.2092,165,6.0432,32.3093,5.0724,43511.00,232627.00,11,51
364,-10074.75,-33.5825,0.4221,7200,8603,1.1949,171,5.9376,31.8264,4.9751,42751.00,229150.00,12,73
365,-10045.76,-33.4859,0.4205,7200,8685,1.2063,166,5.9649,31.7275,5.0126,42947.00,228438.00,12,86
366,-10139.34,-33.7978,0.4189,7200,8548,1.1872,153,6.0010,32.0262,5.0599,43207.00,230589.00,10,80
367,-9930.25,-33.1008,0.4173,7200,8493,1.1796,164,5.8351,31.3797,4.8993,42013.00,225934.00,10,85
368,-10101.67,-33.6722,0.4158,7200,8668,1.2039,147,5.9819,31.9256,5.0261,43070.00,229864.00,6,22
369,-10142.73,-33.8091,0.4142,7200,8634,1.1992,154,5.9860,32.0508,5.0332,43099.00,230766.00,11,84
370,-10244.55,-34.1485,0.4126,7200,8642,1.2003,161,6.0429,32.3618,5.0862,43509.00,233005.00,12,112
371,-9987.12,-33.2904,0.4110,7200,8638,1.1997,174,5.9321,31.5329,4.9846,42711.00,227037.00,9,41
372,-10026.43,-33.4214,0.4094,7200,8451,1.1738,185,5.8879,31.6529,4.9640,42393.00,227901.00,9,69
373,-10130.45,-33.7682,0.4078,7200,8695,1.2076,159,6.0154,31.9978,5.0607,43311.00,230384.00,9,52
374,-10205.89,-34.0196,0.4062,7200,8671,1.2043,157,6.0364,32.2447,5.0639,43462.00,232162.00,10,55
375,-9995.02,-33.3167,0.4047,7200,8504,1.1811,169,5.8929,31.5694,4.9512,42429.00,227300.00,9,52
376,-10343.78,-34.4793,0.4031,7200,8706,1.2092,169,6.0907,32.6737,5.1149,43853.00,235251.00,12,106
377,-10112.50,-33.7083,0.4015,7200,8430,1.1708,178,5.9232,31.9315,4.9979,42647.00,229907.00,9,75
378,-9935.03,-33.1168,0.3999,7200,8574,1.1908,171,5.9000,31.3693,4.9594,42480.00,225859.00,9,46
379,-10175.14,-33.9171,0.3983,7200,8539,1.1860,153,5.9733,32.1639,4.9928,43008.00,231580.00,9,88
380,-10038.02,-33.4601,0.3968,7200,8592,1.1933,171,5.9501,31.6936,5.0104,42841.00,228194.00,11,66
381,-9951.60,-33.1720,0.3952,7200,8527,1.1843,163,5.8935,31.4290,4.9671,42433.00,226289.00,9,60
382,-9638.60,-32.1287,0.3936,7200,8517,1.1829,143,5.7636,30.4485,4.8797,41498.00,219229.00,14,121
383,-10130.15,-33.7672,0.3920,7200,8641,1.2001,158,5.9875,32.0072,5.0225,43110.00,230452.00,12,98
384,-10301.41,-34.3380,0.3904,7200,8788,1.2206,158,6.0718,32.5565,5.0971,43717.00,234407.00,12,62
385,-10531.10,-35.1037,0.3888,7200,8661,1.2029,167,6.1606,33.2725,5.1675,44356.00,239562.00,7,47
386,-10067.78,-33.5593,0.3872,7200,8702,1.2086,181,5.9710,31.7838,5.0232,42991.00,228843.00,7,58
387,-9803.75,-32.6792,0.3857,7200,8553,1.1879,178,5.8146,30.9507,4.9076,41865.00,222845.00,6,34
388,-10019.43,-33.3981,0.3841,7200,8643,1.2004,164,5.9313,31.6490,4.9951,42705.00,227873.00,11,76
389,-10138.32,-33.7944,0.3825,7200,8650,1.2014,156,5.9837,32.0369,5.0271,43083.00,230666.00,4,21
390,-10004.78,-33.3493,0.3809,7200,8575,1.1910,160,5.9496,31.5910,5.0193,42837.00,227455.00,12,78
391,-10038.92,-33.4631,0.3793,7200,8526,1.1842,148,5.9224,31.7258,4.9843,42641.00,228426.00,15,121
392,-10001.69,-33.3390,0.3778,7200,8593,1.1935,163,5.9203,31.5876,5.0050,42626.00,227431.00,10,57
393,-9747.56,-32.4919,0.3762,7200,8635,1.1993,150,5.8383,30.7874,4.9325,42036.00,221669.00,9,60
394,-9944.28,-33.1476,0.3746,7200,8645,1.2007,162,5.8876,31.4197,4.9435,42391.00,226222.00,13,95
395,-10455.48,-34.8516,0.3730,7200,8699,1.2082,161,6.1768,33.0224,5.1849,44473.00,237761.00,11,51
396,-10061.59,-33.5386,0.3714,7200,8744,1.2144,161,5.9832,31.7771,5.0557,43079.00,228795.00,11,89
397,-10150.34,-33.8345,0.3698,7200,8680,1.2056,157,6.0126,32.0665,5.0560,43291.00,230879.00,12,58
398,-10155.15,-33.8505,0.3682,7200,8714,1.2103,169,6.0208,32.0696,5.0644,43350.00,230901.00,9,81
399,-9940.11,-33.1337,0.3667,7200,8643,1.2004,154,5.9104,31.4029,4.9746,42555.00,226101.00,8,61
400,-9908.98,-33.0299,0.3651,7200,8548,1.1872,162,5.8792,31.2886,4.9856,42330.00,225278.00,9,64
401,-10071.30,-33.5710,0.3635,7200,8719,1.2110,149,5.9542,31.8397,4.9847,42870.00,229246.00,7,42
402,-10105.05,-33.6835,0.3619,7200,8595,1.1938,157,5.9622,31.9278,5.0158,42928.00,229880.00,8,57
403,-10261.99,-34.2066,0.3603,7200,8674,1.2047,171,6.0651,32.4097,5.0762,43669.00,233350.00,9,53
404,-10337.59,-34.4586,0.3588,7200,8766,1.2175,174,6.1117,32.6483,5.1136,44004.00,235068.00,10,48
405,-10189.48,-33.9649,0.3572,7200,8692,1.2072,153,6.0428,32.1889,5.0906,43508.00,231760.00,7,23
406,-10161.04,-33.8701,0.3556,7200,8576,1.1911,165,6.0026,32.0954,5.0237,43219.00,231087.00,11,63
407,-9933.90,-33.1130,0.3540,7200,8553,1.1879,146,5.8937,31.3875,4.9735,42435.00,225990.00,13,96
408,-9779.53,-32.5984,0.3524,7200,8445,1.1729,173,5.8118,30.8681,4.9074,41845.00,222250.00,14,76
409,-10081.02,-33.6034,0.3508,7200,8616,1.1967,157,5.9394,31.8572,4.9981,42764.00,229372.00,10,84
410,-9995.91,-33.3197,0.3493,7200,8572,1.1906,145,5.9290,31.5879,4.9813,42689.00,227433.00,13,88
411,-9933.92,-33.1131,0.3477,7200,8658,1.2025,149,5.9279,31.3829,4.9840,42681.00,225957.00,5,47
412,-10076.42,-33.5881,0.3461,7200,8603,1.1949,146,5.9586,31.8453,5.0125,42902.00,229286.00,13,88
413,-10180.88,-33.9363,0.3445,7200,8718,1.2108,166,6.0213,32.1587,5.0635,43353.00,231543.00,10,83
414,-10136.47,-33.7882,0.3429,7200,8596,1.1939,150,5.9890,32.0282,5.0460,43121.00,230603.00,16,142
415,-10161.55,-33.8718,0.3413,7200,8656,1.2022,163,6.0240,32.0969,5.0410,43373.00,231098.00,10,59
416,-10332.08,-34.4403,0.3397,7200,8763,1.2171,146,6.1114,32.6576,5.1144,44002.00,235135.00,8,52
417,-9857.42,-32.8581,0.3382,7200,8538,1.1858,145,5.8529,31.1454,4.9499,42141.00,224247.00,16,140
418,-9583.26,-31.9442,0.3366,7200,8490,1.1792,144,5.6906,30.2925,4.7958,40972.00,218106.00,8,61
419,-9864.47,-32.8816,0.3350,7200,8620,1.1972,159,5.8774,31.1556,4.9507,42317.00,224320.00,13,96
420,-9980.29,-33.2676,0.3334,7200,8610,1.1958,163,5.9074,31.5303,4.9540,42533.00,227018.00,8,42
421,-9928.66,-33.0955,0.3318,7200,8572,1.1906,153,5.8811,31.3721,4.9475,42344.00,225879.00,11,86
422,-9801.20,-32.6707,0.3303,7200,8595,1.1938,172,5.8497,30.9387,4.9342,42118.00,222759.00,8,53
423,-10088.87,-33.6296,0.3287,7200,8780,1.2194,170,6.0306,31.8467,5.0825,43420.00,229296.00,10,56
424,-9815.67,-32.7189,0.3271,7200,8562,1.1892,148,5.8379,31.0196,4.8915,42033.00,223341.00,11,80
425,-9857.62,-32.8587,0.3255,7200,8633,1.1990,138,5.8999,31.1460,4.9715,42479.00,224251.00,6,44
426,-10213.31,-34.0444,0.3239,7200,8728,1.2122,156,6.0606,32.2660,5.0819,43636.00,232315.00,9,57
427,-9975.20,-33.2507,0.3223,7200,8571,1.1904,143,5.9483,31.5104,5.0139,42828.00,226875.00,10,47
428,-10114.03,-33.7134,0.3207,7200,8660,1.2028,157,5.9886,31.9489,5.0561,43118.00,230032.00,10,72
429,-10410.90,-34.7030,0.3192,7200,8726,1.2119,170,6.1328,32.8843,5.1406,44156.00,236767.00,8,36
430,-9937.27,-33.1242,0.3176,7200,8562,1.1892,147,5.9004,31.3947,4.9851,42483.00,226042.00,11,78
431,-10134.37,-33.7812,0.3160,7200,8730,1.2125,163,6.0026,32.0147,5.0462,43219.00,230506.00,15,112
432,-10014.27,-33.3809,0.3144,7200,8650,1.2014,144,5.9539,31.6460,5.0042,42868.00,227851.00,11,99
433,-10326.65,-34.4222,0.3128,7200,8701,1.2085,160,6.0968,32.6204,5.1332,43897.00,234867.00,10,59
434,-9963.46,-33.2115,0.3113,7200,8615,1.1965,135,5.9374,31.4840,5.0165,42749.00,226685.00,6,43
435,-9735.19,-32.4506,0.3097,7200,8499,1.1804,149,5.7776,30.7575,4.8940,41599.00,221454.00,9,71
436,-9866.30,-32.8877,0.3081,7200,8596,1.1939,154,5.8576,31.1683,4.9538,42175.00,224412.00,13,133
437,-9949.27,-33.1642,0.3065,7200,8557,1.1885,147,5.8993,31.4354,4.9810,42475.00,226335.00,7,47
438,-10085.76,-33.6192,0.3049,7200,8635,1.1993,158,5.9849,31.8601,5.0187,43091.00,229393.00,11,92
439,-10060.68,-33.5356,0.3033,7200,8698,1.2081,175,5.9519,31.7710,5.0164,42854.00,228751.00,13,78
440,-9877.48,-32.9249,0.3017,7200,8546,1.1869,143,5.8947,31.2021,4.9719,42442.00,224655.00,12,90
441,-9711.17,-32.3706,0.3002,7200,8435,1.1715,144,5.7889,30.6756,4.8950,41680.00,220864.00,6,32
442,-10221.19,-34.0706,0.2986,7200,8794,1.2214,167,6.0819,32.2767,5.1064,43790.00,232392.00,13,77
443,-9905.11,-33.0170,0.2970,7200,8675,1.2049,165,5.9318,31.2629,5.0260,42709.00,225093.00,16,99
444,-10008.21,-33.3607,0.2954,7200,8618,1.1969,161,5.9257,31.6222,4.9540,42665.00,227680.00,12,90
445,-9888.14,-32.9605,0.2938,7200,8627,1.1982,167,5.8731,31.2289,4.9453,42286.00,224848.00,12,78
446,-9688.58,-32.2953,0.2923,7200,8507,1.1815,150,5.7894,30.6004,4.8886,41684.00,220323.00,14,82
