episode,episode_reward,avg_reward,epsilon,sim_seconds,total_departed,avg_departed_per_sec,switch_count,average_queue,average_wait,average_imbalance,cumulative_queue,cumulative_wait,final_total_queue,final_total_wait
50,-10381.90,-34.6063,0.9193,7200,8759,1.2165,194,6.1160,32.7685,5.1446,44035.00,235933.00,8,40
51,-10146.78,-33.8226,0.9177,7200,8741,1.2140,200,6.0224,32.0047,5.1021,43361.00,230434.00,12,84
52,-10186.46,-33.9549,0.9161,7200,8545,1.1868,201,5.9944,32.1372,5.0558,43160.00,231388.00,6,40
53,-10493.71,-34.9790,0.9145,7200,8586,1.1925,221,6.1226,33.1000,5.1487,44083.00,238320.00,12,91
54,-10249.73,-34.1658,0.9129,7200,8552,1.1878,216,6.0283,32.3197,5.0914,43404.00,232702.00,10,60
55,-10167.94,-33.8931,0.9113,7200,8548,1.1872,200,5.9583,32.0910,5.0206,42900.00,231055.00,4,27
56,-10141.07,-33.8036,0.9098,7200,8700,1.2083,199,5.9900,31.9989,5.0592,43128.00,230392.00,14,78
57,-10418.82,-34.7294,0.9082,7200,8694,1.2075,205,6.1057,32.8782,5.1440,43961.00,236723.00,11,73
58,-10013.24,-33.3775,0.9066,7200,8569,1.1901,195,5.8987,31.6049,4.9646,42471.00,227555.00,12,79
59,-10052.10,-33.5070,0.9050,7200,8503,1.1810,193,5.8814,31.7404,4.9389,42346.00,228531.00,17,125
60,-10553.98,-35.1799,0.9034,7200,8664,1.2033,195,6.1614,33.3236,5.1536,44362.00,239930.00,13,78
61,-10396.12,-34.6538,0.9018,7200,8578,1.1914,194,6.0721,32.8131,5.1399,43719.00,236254.00,11,87
62,-10467.98,-34.8933,0.9002,7200,8661,1.2029,209,6.1135,33.0375,5.1276,44017.00,237870.00,11,71
63,-10380.95,-34.6032,0.8987,7200,8566,1.1897,205,6.0424,32.7662,5.0915,43505.00,235917.00,13,96
